"id","token","price","market_cap","daily_hour_volume","direction","timestamp"
391,BiDB55p4G3n1fGhwKFpxsokBMqgctL4qnZpDH1bVQxMD,0.005546114961488875,2154103.98466214,67525.38743643,down,2023-09-14 23:56:14.103
392,EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp,0.15385224969639508,6881805.5279286,6039675.64576678,down,2023-09-14 23:56:25.152
393,"8PMHT4swUMtBzgHnh5U564N5sjPSiUz2cjEQzFnnP1Fo",0.010268,64500,16.63,down,2023-09-14 23:56:41.230
394,CRWNYkqdgvhGGae9CKfNka58j6QQkaD5bLhKXvUYqnc1,0.0014626180258575626,676010.188607586,165808.1350489,down,2023-09-14 23:56:41.246
395,StepAscQoEioFxxWGnh2sLBDFp9d8rvKz2Yp39iDpyT,0.013675223212120302,54700.8928484812,36008.86336202,down,2023-09-14 23:56:41.262
396,"4dmKkXNHdgYsXqBHCuMikNQWwVomZURhYvkkX5c4pQ7y",0.0019930182048453348,11210.727402255,29948.26902901,down,2023-09-14 23:56:41.278
397,ETAtLmCmsoiEEKfNrHKJ2kYy3MoABhU6NQvpSfij5tDs,6.23,1600000,384300,down,2023-09-14 23:56:48.407
398,"7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU",0.002985133958041166,10917036.2865645,280071.21358633,up,2023-09-14 23:56:48.415
399,xxxxa1sKNGwFtw2kFn8XauW9xq8hBZ5kVtcSesTT9fW,0.029023218288738706,2902321.82887387,818564.30297579,up,2023-09-14 23:56:48.424
400,AMdnw9H5DFtQwZowVFr4kUgSXJzLokKSinvgGiUoLSps,0.000019,81300,418.79,down,2023-09-14 23:56:56.481
401,"3FoUAsGDbvTD6YZ4wVKJgTB76onJUKz7GPEBNiR5b8wc",0.0000603819104878,154024.284684271,354.92576007,up,2023-09-14 23:57:04.724
402,DFL1zNkaGPWm1BqAVqRjCZvHmwTFrEaJtbzJWgseoNJh,0.0004025677162359,1016547.4023926,24639.90982095,down,2023-09-14 23:57:04.732
403,TuLipcqtGVXP9XR62wM8WWCm6a9vhLs7T1uoWBk6FDs,0.9322245862264515,759954.871788914,21242.29799981,up,2023-09-14 23:57:04.740
404,GHvFFSZ9BctWsEc5nujR1MTmmJWY7tgQz2AXE6WVFtGN,0.000883,263100,485.9,down,2023-09-14 23:57:39.819
405,"6kwTqmdQkJd8qRr9RjSnUX9XJ24RmJRSrU1rsragP97Y",0.006486,136100,34.33,"",2023-09-14 23:57:49.071
406,"3bRTivrVsitbmCTGtqwp7hxXPsybkjn4XLNtPsHqa3zR",0.0018639719970829798,509398.662888456,264881.79767587,up,2023-09-14 23:57:49.084
407,E5ndSkaB17Dm7CsD22dvcjfrYSDLCxFcMd6z8ddCk5wp,0.054118,670200,13300,down,2023-09-14 23:57:56.440
408,"4wjPQJ6PrkC4dHhYghwJzGBVP78DkBzA2U3kHoFNBuhj",0.000882,26400,19700,"",2023-09-14 23:58:04.267
409,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,0.791043,18800000,117500,"",2023-09-14 23:58:12.874
410,MangoCzJ36AjZyKwVj3VnYU4GTonjfVEnJmvvWaxLac,0.017013536415804165,17013536.4158042,136147.67996276,up,2023-09-14 23:58:12.884
411,poLisWXnNRwC6oBu1vHiuKQzFjGL4XDSu4g9qjz9qVk,0.11826590679261056,18095375.5019972,179657.11903861,up,2023-09-14 23:58:12.895
